id	year	state	county	spend	crime	ratio
2009::NV::WASHOE	2009	NV	Washoe	208947.82	1872	111.6174252
2010::WA::SNOHOMISH	2010	WA	Snohomish	910.28	1045	0.87108134
2006::MD::FREDERICK	2006	MD	Frederick 	20459	134	152.6791045
2012::OH::ATHENS	2012	OH	Athens	365710.7	34	10756.19706
2011::IL::TAZEWELL	2011	IL	Tazewell	103873.84	284	365.7529577
2011::AL::SAINT CLAIR	2011	AL	St. Clair	628146.97	119	5278.545966
2009::IL::SANGAMON	2009	IL	Sangamon	61302.1	0	61302.1
2006::MA::MIDDLESEX	2006	MA	Middlesex	48742	3395	14.35699558
2011::WA::SNOHOMISH	2011	WA	Snohomish	68748	881	78.03405221
2007::CO::ARAPAHOE	2007	CO	Arapahoe	15978	2325	6.872258065
2012::DE::NEW CASTLE	2012	DE	New Castle	946508.92	2493	379.6666346
2012::MA::PLYMOUTH	2012	MA	Plymouth	274388.67	1731	158.5145407
2006::WI::WOOD	2006	WI	Wood	4130	36	114.7222222
2008::GA::CATOOSA	2008	GA	Catoosa 	414	69	6
2006::NH::CHESHIRE	2006	NH	Cheshire	1550	53	29.24528302
2012::NY::ONEIDA	2012	NY	Oneida	189615.27	510	371.7946471
2009::TX::HENDERSON	2009	TX	Henderson	10182	353	28.84419263
2012::TN::HAWKINS	2012	TN	Hawkins	357748.77	64	5589.824531
2008::NJ::BERGEN	2008	NJ	Bergen	7483.42	943	7.935758218
2012::NM::VALENCIA	2012	NM	Valencia	429600	170	2527.058824
2008::VA::PRINCE WILLIAM	2008	VA	Prince William	7485	570	13.13157895
2008::CO::JEFFERSON	2008	CO	Jefferson	4612.71	1388	3.323278098
2006::CA::CALAVERAS	2006	CA	Calaveras	3567	45	79.26666667
2007::SC::PICKENS	2007	SC	Pickens	4491	133	33.76691729
2011::WV::CABELL	2011	WV	Cabell	50000	241	207.4688797
2010::WI::DANE	2010	WI	Dane	98315.79	1167	84.24660668
2010::WA::LEWIS	2010	WA	Lewis 	222318	48	4631.625
2006::KY::BULLITT	2006	KY	Bullitt 	276	22	12.54545455
2012::OR::LANE	2012	OR	Lane	1717935.13	737	2330.983894
2009::UT::WASATCH	2009	UT	Wasatch	138	2	69
2012::TN::DICKSON	2012	TN	Dickson	292221.25	164	1781.83689
2007::AZ::COCONINO	2007	AZ	Coconino	6986	325	21.49538462
2008::CA::BUTTE	2008	CA	Butte	194252	554	350.6353791
2008::TX::BEXAR	2008	TX	Bexar	645.81	10428	0.06193038
2006::TN::JEFFERSON	2006	TN	Jefferson 	4787.65	105	45.59666667
